"cityid","city","iscity","regionid","provid","isactive","psgc_code"
"133","ALCALA","0","4","12","1","021502000"
"134","ALLACAPAN","0","4","12","1","021503000"
"135","AMULUNG","0","4","12","1","021504000"
"136","APARRI","0","4","12","1","021505000"
"137","BAGGAO","0","4","12","1","021506000"
"138","BALLESTEROS","0","4","12","1","021507000"
"139","BUGUEY","0","4","12","1","021508000"
"140","CALAYAN","0","4","12","1","021509000"
"141","CAMALANIUGAN","0","4","12","1","021510000"
"142","CLAVERIA","0","4","12","1","021511000"
"143","ENRILE","0","4","12","1","021512000"
"144","GATTARAN","0","4","12","1","021513000"
"145","GONZAGA","0","4","12","1","021514000"
"146","IGUIG","0","4","12","1","021515000"
"147","LAL-LO","0","4","12","1","021516000"
"148","LASAM","0","4","12","1","021517000"
"149","PAMPLONA","0","4","12","1","021518000"
"150","PENABLANCA","0","4","12","1","021519000"
"151","PIAT","0","4","12","1","021520000"
"152","RIZAL","0","4","12","1","021521000"
"153","SANCHEZ-MIRA","0","4","12","1","021522000"
"154","SANTA ANA","0","4","12","1","021523000"
"155","SANTA PRAXEDES","0","4","12","1","021524000"
"156","SANTA TERESITA","0","4","12","1","021525000"
"157","SANTO NI","0","4","12","1","021526000"
"158","SOLANA","0","4","12","1","021527000"
"159","TUAO","0","4","12","1","021528000"
"160","TUGUEGARAO CITY (Capital)","1","4","12","1","021529000"
"161","ALICIA","0","4","13","1","023101000"
"162","ANGADANAN","0","4","13","1","023102000"
"163","AURORA","0","4","13","1","023103000"
"164","BENITO SOLIVEN","0","4","13","1","023104000"
"165","BURGOS","0","4","13","1","023105000"
"166","CABAGAN","0","4","13","1","023106000"
"167","CABATUAN","0","4","13","1","023107000"
"168","CITY OF CAUAYAN","1","4","13","1","023108000"
"169","CORDON","0","4","13","1","023109000"
"170","DINAPIGUE","0","4","13","1","023110000"
"171","DIVILACAN","0","4","13","1","023111000"
"172","ECHAGUE","0","4","13","1","023112000"
"173","GAMU","0","4","13","1","023113000"
"174","ILAGAN CITY(Capital)","1","4","13","1","023114000"
"175","JONES","0","4","13","1","023115000"
"176","LUNA","0","4","13","1","023116000"
"177","MACONACON","0","4","13","1","023117000"
"178","DELFIN ALBANO (MAGSAYSAY)","0","4","13","1","023118000"
"179","MALLIG","0","4","13","1","023119000"
"180","NAGUILIAN","0","4","13","1","023120000"
"181","PALANAN","0","4","13","1","023121000"
"182","QUEZON","0","4","13","1","023122000"
"183","QUIRINO","0","4","13","1","023123000"
"184","RAMON","0","4","13","1","023124000"
"185","REINA MERCEDES","0","4","13","1","023125000"
"186","ROXAS","0","4","13","1","023126000"
"187","SAN AGUSTIN","0","4","13","1","023127000"
"188","SAN GUILLERMO","0","4","13","1","023128000"
"189","SAN ISIDRO","0","4","13","1","023129000"
"190","SAN MANUEL","0","4","13","1","023130000"
"191","SAN MARIANO","0","4","13","1","023131000"
"192","SAN MATEO","0","4","13","1","023132000"
"193","SAN PABLO","0","4","13","1","023133000"
"194","SANTA MARIA","0","4","13","1","023134000"
"195","CITY OF SANTIAGO","1","4","13","1","023135000"
"196","SANTO TOMAS","0","4","13","1","023136000"
"197","TUMAUINI","0","4","13","1","023137000"
"198","AMBAGUIO","0","4","15","1","025001000"
"199","ARITAO","0","4","15","1","025002000"
"200","BAGABAG","0","4","15","1","025003000"
"201","BAMBANG","0","4","15","1","025004000"
"202","BAYOMBONG (Capital)","0","4","15","1","025005000"
"203","DIADI","0","4","15","1","025006000"
"204","DUPAX DEL NORTE","0","4","15","1","025007000"
"205","DUPAX DEL SUR","0","4","15","1","025008000"
"206","KASIBU","0","4","15","1","025009000"
"207","KAYAPA","0","4","15","1","025010000"
"208","QUEZON","0","4","15","1","025011000"
"209","SANTA FE","0","4","15","1","025012000"
"210","SOLANO","0","4","15","1","025013000"
"211","VILLAVERDE","0","4","15","1","025014000"
"212","ALFONSO CASTANEDA","0","4","15","1","025015000"
"213","AGLIPAY","0","4","14","1","025701000"
"214","CABARROGUIS (Capital)","0","4","14","1","025702000"
"215","DIFFUN","0","4","14","1","025703000"
"216","MADDELA","0","4","14","1","025704000"
"217","SAGUDAY","0","4","14","1","025705000"
"218","NAGTIPUNAN","0","4","14","1","025706000"
"219","ABUCAY","0","5","17","1","030801000"
"220","BAGAC","0","5","17","1","030802000"
"221","CITY OF BALANGA (Capital)","1","5","17","1","030803000"
"222","DINALUPIHAN","0","5","17","1","030804000"
"223","HERMOSA","0","5","17","1","030805000"
"224","LIMAY","0","5","17","1","030806000"
"225","MARIVELES","0","5","17","1","030807000"
"226","MORONG","0","5","17","1","030808000"
"227","ORANI","0","5","17","1","030809000"
"228","ORION","0","5","17","1","030810000"
"229","PILAR","0","5","17","1","030811000"
"230","SAMAL","0","5","17","1","030812000"
"231","ANGAT","0","5","18","1","031401000"
"232","BALAGTAS (BIGAA)","0","5","18","1","031402000"
"233","BALIUAG","0","5","18","1","031403000"
"234","BOCAUE","0","5","18","1","031404000"
"235","BULACAN","0","5","18","1","031405000"
"236","BUSTOS","0","5","18","1","031406000"
"237","CALUMPIT","0","5","18","1","031407000"
"238","GUIGUINTO","0","5","18","1","031408000"
"239","HAGONOY","0","5","18","1","031409000"
