article_incident_title,incday,incmo,incyr,case_status,region_psgc,province_psgc,municipality_psgc,city_psgc,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,,
12 BIFF bandits surrender in Maguindanao,13,1,2020,-98,150000000,153800000,153813000,-99,2042,3015,124.6921833,6.891734666,,
12 BIFF men killed in Maguindanao offensive,10,3,2019,-98,150000000,153800000,-98,-99,927,5017,124.5211915,6.895482565,,
12 NPA rebels surrender,26,11,2018,-98,150000000,153600000,153610000,-99,2042,5008,124.3518773,8.047746144,,
120 loose firearms surrendered,22,6,2020,-98,150000000,153800000,153805000,-99,2037,8008,124.8712631,6.744293835,,
123 die from clash (123 patay sa engkwentro),1,2,2016,3,150000000,153600000,153607000,-99,927,5017,124.311528,7.738184856,,
"13 Abu Sayyaf surrender (13 Abu Sayyaf, mitahan)",9,7,2018,-98,150000000,156600000,-98,-99,2042,3015,121.0037527,6.053626626,,
13 Dawlah members surrender to Army,15,7,2020,-98,150000000,153800000,153829000,-99,2037,3015,124.5580074,6.912698472,,
13 injured in wedding (13 sugatan sa nagwala sa kasalan),30,3,2012,3,150000000,150700000,150705000,-99,2031,-98,122.0155491,6.4829046,,
13 Marine soldiers killed in Marawi,9,6,2017,3,150000000,153600000,-99,153617000,927,5017,124.2931198,8.001576158,,
13 Sayyaf supporters brought to military camps,18,11,2014,3,150000000,156600000,156613000,-99,9999,2013,121.1414263,5.996308342,,
"14 BIFF killed, 9 soldiers injured in Datu Piang, Maguindanao",6,3,2015,3,150000000,153800000,153806000,-99,927,5008,124.4974405,7.0178051,,
"14 BIFF members surrender (14 miyembro ng BIFF, sumuko)",9,9,2019,-98,150000000,153800000,-98,-99,2042,3015,124.3691701,6.955952969,,
14 drug pushers arrested in buy-bust (14 pushers sikpaw sa buy-bust),10,3,2017,2,120000000,-99,-99,129804000,2036,8004,124.2353465,7.201788887,,
"14 Sayyaf killed, says military ",23,4,2016,3,150000000,156600000,156611000,-99,926,5017,121.105957,6.03540776,,
"15 ASG members, including 1 wanted in Malaysia, surrender to Army ",11,12,2020,-98,150000000,156600000,-98,-99,2037,3015,121.0037527,6.053626626,,
"15 BIFFs killed, bomb expert nabbed",10,6,2018,-98,150000000,153800000,153819000,-99,926,5017,124.7493028,6.835991149,,
"151,000 sacks of smuggled rice held",24,2,2015,3,150000000,156600000,156610000,-99,2037,8002,121.1595842,5.8288038,,
"15-year-old student killed in Datu Piang, Maguindanao (15 anyos tinun-an, gipatay)",3,9,2014,3,150000000,153800000,153806000,-99,2031,3006,124.4949675,7.018353267,,
16  tired  BIFF members yield,23,1,2020,-98,150000000,153800000,153813000,-99,2042,3015,124.6921833,6.891734666,,
16  tired  BIFF members yield 2,23,1,2020,-98,150000000,153800000,153819000,-99,2042,3015,124.7493028,6.835991149,,
16 more Dawlah members surrender to 6th ID,18,8,2020,-98,150000000,153800000,153828000,-99,2037,3015,124.5204972,6.879014244,,
"17 BIFF, Abu bandits surrender ",10,5,2018,-98,150000000,153800000,153819000,-99,2042,3015,124.7677748,6.795875982,,
